timestamp,x,y,z,roll,pitch,yaw
3105,306.79000000000002,260.76999999999998,208.66000000000000,172.90000000000001,-83,7
3106,306.47000000000003,260.20999999999998,208.46000000000001,172.90000000000001,-83,7
3107,306.13999999999999,259.64999999999998,208.27000000000001,172.90000000000001,-83,7
3108,305.81999999999999,259.07999999999998,208.08000000000001,172.90000000000001,-83,7
3109,305.5,258.50999999999999,207.91000000000000,172.90000000000001,-83,7
3110,305.18000000000001,257.94000000000000,207.75,172.90000000000001,-83,7
3111,304.86000000000001,257.37000000000000,207.59000000000000,172.90000000000001,-83,7
3112,304.52999999999997,256.79000000000002,207.44999999999999,172.90000000000001,-83,7
3113,304.20999999999998,256.20999999999998,207.31999999999999,172.90000000000001,-83,7
3114,303.88000000000000,255.63999999999999,207.19000000000000,172.90000000000001,-83,7
3115,303.55000000000001,255.06000000000000,207.08000000000001,172.90000000000001,-83,7
3116,303.22000000000003,254.47999999999999,206.97000000000000,172.90000000000001,-83,7
3117,302.88999999999999,253.90000000000001,206.88000000000000,172.90000000000001,-83,7
3118,302.55000000000001,253.31999999999999,206.80000000000001,172.90000000000001,-83,7
3119,302.20999999999998,252.74000000000001,206.72999999999999,172.90000000000001,-83,7
3120,301.87000000000000,252.16000000000000,206.66000000000000,172.90000000000001,-83,7
3121,301.52999999999997,251.58000000000001,206.61000000000001,172.90000000000001,-83,7
3122,301.18000000000001,251.0,206.56999999999999,172.90000000000001,-83,7
3123,300.83999999999997,250.41999999999999,206.53999999999999,172.90000000000001,-83,7
3124,300.49000000000001,249.84000000000000,206.50999999999999,172.90000000000001,-83,7
3125,300.13999999999999,249.25999999999999,206.49000000000001,172.90000000000001,-83,7
3126,299.79000000000002,248.68000000000001,206.47000000000000,172.90000000000001,-83,7
3127,299.44999999999999,248.09999999999999,206.46000000000001,172.90000000000001,-83,7
3128,299.10000000000002,247.53000000000000,206.46000000000001,172.90000000000001,-83,7
3129,298.74000000000001,246.94999999999999,206.47000000000000,172.90000000000001,-83,7
3130,298.38999999999999,246.38000000000000,206.49000000000001,172.90000000000001,-83,7
3131,298.02999999999997,245.80000000000001,206.52000000000001,172.90000000000001,-83,7
3132,297.67000000000002,245.22999999999999,206.56000000000000,172.90000000000001,-83,7
3133,297.31000000000000,244.66000000000000,206.61000000000001,172.90000000000001,-83,7
3134,296.94999999999999,244.09999999999999,206.66999999999999,172.90000000000001,-83,7
3135,296.58999999999997,243.53000000000000,206.75,172.90000000000001,-83,7
3136,296.23000000000002,242.97000000000000,206.84999999999999,172.90000000000001,-83,7
3137,295.87000000000000,242.41000000000000,206.97000000000000,172.90000000000001,-83,7
3138,295.51999999999998,241.84000000000000,207.11000000000001,172.90000000000001,-83,7
3139,295.17000000000002,241.28999999999999,207.25999999999999,172.90000000000001,-83,7
3140,294.82999999999998,240.72999999999999,207.43000000000001,172.90000000000001,-83,7
3141,294.5,240.16999999999999,207.62000000000000,172.90000000000001,-83,7
3142,294.17000000000002,239.62000000000000,207.83000000000001,172.90000000000001,-83,7
3143,293.83999999999997,239.06999999999999,208.05000000000001,172.90000000000001,-83,7
3144,293.51999999999998,238.52000000000001,208.28000000000000,172.90000000000001,-83,7
3145,293.20999999999998,237.97999999999999,208.52000000000001,172.90000000000001,-83,7
3146,292.88999999999999,237.43000000000001,208.78000000000000,172.90000000000001,-83,7
3147,292.58999999999997,236.88999999999999,209.03999999999999,172.90000000000001,-83,7
3148,292.29000000000002,236.34999999999999,209.31000000000000,172.90000000000001,-83,7
3149,291.99000000000001,235.81000000000000,209.59000000000000,172.90000000000001,-83,7
3150,291.69000000000000,235.27000000000001,209.86000000000001,172.90000000000001,-83,7
3151,291.38999999999999,234.72999999999999,210.13999999999999,172.90000000000001,-83,7
3152,291.10000000000002,234.19000000000000,210.43000000000001,172.90000000000001,-83,7
3153,290.81000000000000,233.65000000000001,210.71000000000001,172.90000000000001,-83,7
3154,290.51999999999998,233.11000000000001,210.97999999999999,172.90000000000001,-83,7
3155,290.23000000000002,232.56000000000000,211.25,172.90000000000001,-83,7
3156,289.94999999999999,232.00999999999999,211.52000000000001,172.90000000000001,-83,7
3157,289.67000000000002,231.44999999999999,211.78999999999999,172.90000000000001,-83,7
3158,289.38999999999999,230.90000000000001,212.05000000000001,172.90000000000001,-83,7
3159,289.12000000000000,230.33000000000001,212.31000000000000,172.90000000000001,-83,7
